age,tenure_months,monthly_spend,support_tickets,is_premium,churned
58,15,17.63,4,0,1
65,14,86.05,8,0,1
20,4,24.84,3,0,0
63,70,59.05,7,1,0
18,21,88.3,5,1,1
66,44,25.73,6,0,1
40,34,99.75,7,0,0
42,11,72.96,5,0,1
20,30,96.17,1,0,0
42,36,62.61,5,0,1
31,35,88.69,1,0,0
33,21,63.54,4,0,0
71,8,39.05,0,1,0
22,28,110.88,5,0,0
43,59,30.0,2,0,0
52,34,93.44,6,1,1
26,66,66.82,0,0,0
28,55,77.62,6,1,0
47,68,41.4,8,0,0
25,69,93.84,5,0,0
28,59,15.34,4,0,0
24,39,103.38,8,0,1
66,21,71.63,8,0,1
49,3,26.75,5,1,1
33,11,23.99,7,0,0
52,17,28.48,7,0,1
73,55,116.26,8,0,1
43,48,61.0,8,1,1
32,9,50.5,8,0,1
18,10,89.32,0,0,1
20,43,22.44,3,1,0
31,70,28.89,7,0,0
69,53,34.99,1,1,0
44,60,105.7,0,0,0
64,44,99.06,1,0,0
52,58,29.72,2,1,0
73,10,61.53,8,0,1
52,2,116.74,3,0,1
48,28,105.79,0,0,0
42,34,112.28,7,1,1
64,72,84.5,7,0,1
31,8,75.81,8,0,1
21,7,76.34,8,0,1
50,11,104.39,1,0,0
33,52,27.59,3,0,0
44,67,48.22,4,0,0
38,31,42.89,2,1,0
66,10,15.98,1,0,0
50,34,28.91,5,0,0
41,37,31.56,8,1,0
69,68,15.82,8,1,0
24,18,42.77,1,0,0
56,27,90.35,3,1,0
34,7,24.69,6,1,1
39,17,81.9,4,0,0
53,55,73.9,1,0,0
62,20,72.29,5,0,1
20,40,53.29,0,1,0
33,14,52.14,8,1,0
65,20,112.21,3,0,0
69,23,107.55,0,0,0
39,53,99.23,3,1,0
62,14,55.17,0,1,0
70,59,51.71,3,0,1
30,52,49.47,1,1,0
50,52,86.35,8,1,0
25,34,33.75,4,0,1
45,45,91.5,5,1,0
50,15,55.45,3,1,1
45,1,69.59,8,0,1
22,43,80.43,1,1,0
60,53,49.25,4,0,0
60,49,86.12,2,1,0
71,1,46.91,3,1,0
56,42,63.82,7,0,1
68,22,84.18,4,1,1
66,31,85.64,3,0,1
20,32,118.31,1,1,0
58,25,90.43,6,1,1
27,1,108.73,1,1,0
69,67,63.78,8,0,0
25,59,29.0,7,1,0
75,57,79.33,8,1,0
53,58,109.21,7,1,1
33,36,95.41,8,1,1
35,57,23.14,4,0,0
38,70,23.46,2,0,0
27,28,21.74,6,1,0
44,8,36.72,6,1,0
55,3,104.96,6,1,1
40,39,94.11,6,0,1
35,56,65.99,6,1,0
69,52,91.04,7,0,0
52,4,110.23,0,0,0
26,60,34.08,4,1,0
47,42,50.44,6,1,0
71,54,41.49,1,1,0
52,7,119.99,5,0,1
67,6,94.19,3,0,0
57,20,40.05,7,0,1
31,60,88.44,5,0,0
65,15,96.67,2,1,1
19,40,75.46,6,1,0
30,10,77.17,3,0,0
37,16,98.6,0,1,0
60,48,22.24,5,0,0
70,63,26.08,5,1,0
45,23,92.05,4,1,0
70,35,48.84,3,0,0
46,32,93.8,6,1,1
72,42,34.09,3,1,0
39,36,107.43,4,0,0
30,11,40.34,6,1,0
33,61,82.82,7,1,0
23,38,38.27,3,1,0
41,61,73.11,5,1,0
53,43,51.94,7,1,1
32,16,90.73,5,0,0
66,24,35.11,7,1,0
66,68,77.66,1,0,0
41,23,46.74,8,0,1
21,71,45.67,2,1,0
18,37,64.29,7,1,1
21,33,113.81,7,0,0
43,63,22.78,0,0,0
54,39,23.94,3,0,0
44,29,96.45,6,1,0
37,55,47.06,0,0,0
31,28,42.79,1,0,0
53,10,31.44,6,1,0
48,38,18.43,4,1,0
47,10,87.18,4,0,1
52,29,83.0,4,0,1
28,40,77.48,4,1,1
62,39,88.47,4,1,0
56,6,108.39,5,1,1
32,3,119.96,4,0,1
29,61,69.49,7,1,1
55,56,81.65,7,0,1
44,43,48.71,1,0,0
62,64,45.26,6,0,0
38,33,48.94,6,0,0
52,60,58.39,3,1,0
49,57,94.8,3,1,0
36,57,107.49,7,0,1
58,31,89.53,4,0,0
23,29,119.19,1,1,0
59,20,67.33,4,1,0
48,61,40.59,8,0,1
56,66,93.36,2,0,0
68,54,50.69,8,1,0
36,39,102.93,7,0,1
48,45,49.91,8,1,1
38,25,117.98,3,1,1
67,53,19.58,7,1,0
60,20,67.01,0,0,0
55,43,106.32,7,0,1
47,2,90.86,6,0,1
68,34,50.55,6,0,0
72,69,54.9,5,1,0
20,9,39.65,4,0,0
45,13,94.84,1,1,0
37,4,19.83,0,1,0
45,19,40.64,6,0,1
23,49,80.07,3,1,0
27,30,63.42,4,1,0
18,60,109.63,8,0,1
40,39,82.09,6,1,0
37,26,119.93,7,0,1
54,46,75.36,4,0,0
60,51,43.82,0,1,0
75,37,96.45,3,1,0
30,33,86.17,2,0,0
59,6,47.44,7,0,1
64,17,24.46,4,1,0
29,26,28.88,8,1,1
35,22,41.98,7,1,0
39,15,64.17,1,0,0
32,51,116.56,8,1,1
43,2,42.77,1,1,0
65,34,76.38,5,0,0
48,4,80.05,8,1,0
32,9,81.72,7,1,1
25,18,19.76,0,1,0
25,13,39.65,8,0,1
41,70,59.01,2,1,0
71,63,79.64,4,0,0
31,57,61.69,3,1,0
61,48,72.17,5,0,0
30,16,114.65,7,0,1
59,3,20.31,5,0,0
68,27,22.2,8,0,1
70,30,49.5,2,0,0
27,17,71.72,2,0,0
19,17,16.56,3,1,1
34,7,28.31,6,0,1
48,58,96.69,8,0,1
32,6,91.36,8,1,1
19,8,119.85,6,1,1
49,57,22.72,1,1,0
22,17,43.88,8,1,1
56,68,45.96,8,1,1
62,15,104.54,8,0,1
74,30,58.45,7,1,1
24,41,59.81,4,1,0
61,61,22.05,1,0,0
65,48,100.24,8,0,1
53,72,49.61,1,1,0
60,55,106.15,0,1,0
40,14,75.68,3,0,0
32,14,51.76,8,1,1
35,29,99.76,8,0,1
60,35,18.04,4,1,0
40,1,34.05,2,1,1
65,4,24.63,8,0,1
47,44,31.53,4,1,0
54,11,107.75,2,0,0
21,11,43.57,6,1,0
44,35,37.63,8,0,1
25,37,86.21,7,1,1
43,8,15.81,4,0,0
66,33,45.39,1,0,0
45,23,28.56,8,0,1
71,46,22.57,0,1,0
22,41,75.45,6,1,1
43,3,116.45,2,1,0
41,12,60.85,1,0,0
43,68,23.26,4,1,0
67,22,23.02,1,0,0
40,45,91.37,2,0,1
34,26,33.22,2,0,0
67,64,63.72,7,1,0
58,41,30.85,1,1,0
37,36,77.1,5,0,1
46,5,20.97,4,0,0
72,12,79.58,8,1,1
53,6,62.22,3,1,0
50,20,115.56,7,0,1
